City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Hami,CN,2022-02-02   03:16:09,42.8,93.45,24.67,28,100,0.69
95,Saint George,US,2022-02-02   03:15:59,37.1041,-113.5841,41.95,25,0,4.0
96,Codrington,AU,2022-02-02   03:14:48,-38.2667,141.9667,61.11,53,100,14.18
97,Sorong,ID,2022-02-02   03:15:20,-0.8833,131.25,82.08,71,100,2.46
98,Ghanzi,BW,2022-02-02   03:16:09,-21.5667,21.7833,65.59,95,6,6.58
99,Hobyo,SO,2022-02-02   03:16:10,5.3505,48.5268,77.31,78,100,17.9
100,Bredasdorp,ZA,2022-02-02   03:13:27,-34.5322,20.0403,71.73,80,8,4.03
101,Pangnirtung,CA,2022-02-02   03:16:10,66.1451,-65.7125,-18.85,81,82,6.42
102,Caorle,IT,2022-02-02   03:16:10,45.5966,12.8758,39.45,93,8,4.88
103,Upernavik,GL,2022-02-02   03:16:11,72.7868,-56.1549,-13.68,74,100,5.57
104,Vardo,NO,2022-02-02   03:16:11,70.3705,31.1107,29.43,65,100,16.08
105,Bend,US,2022-02-02   03:13:29,44.0582,-121.3153,31.86,65,0,1.01
106,Airai,TL,2022-02-02   03:16:11,-8.9266,125.4092,73.67,55,69,5.93
107,Karratha,AU,2022-02-02   03:16:12,-20.7377,116.8463,88.83,62,100,14.03
108,Mendota,US,2022-02-02   03:16:12,36.7536,-120.3816,50.76,50,0,7.38
109,Orda,RU,2022-02-02   03:16:12,57.1951,56.9091,28.02,94,100,12.71
110,Sioux Lookout,CA,2022-02-02   03:16:13,50.1001,-91.917,-0.02,78,100,23.02
111,Mbanza-Ngungu,CD,2022-02-02   03:16:13,-5.25,14.8667,66.31,99,79,3.69
112,Rwamagana,RW,2022-02-02   03:16:13,-1.9487,30.4347,63.84,93,100,1.97
113,Vanavara,RU,2022-02-02   03:16:14,60.34,102.2797,-6.81,99,96,3.02
114,Eureka,US,2022-02-02   03:13:19,40.8021,-124.1637,48.2,81,0,8.01
115,Poplar Bluff,US,2022-02-02   03:16:14,36.757,-90.3929,56.98,76,100,3.44
116,Miyako,JP,2022-02-02   03:16:15,39.6367,141.9525,37.31,43,96,12.5
117,Punta Arenas,CL,2022-02-02   03:15:33,-53.15,-70.9167,44.71,70,40,13.8
118,Nome,US,2022-02-02   03:16:15,64.5011,-165.4064,19.47,49,0,34.52
119,Pevek,RU,2022-02-02   03:16:16,69.7008,170.3133,-6.43,79,100,2.98
120,Cockburn Town,TC,2022-02-02   03:16:16,21.4612,-71.1419,75.52,75,30,21.68
121,Ancud,CL,2022-02-02   03:16:17,-41.8697,-73.8203,59.23,93,100,3.67
122,Murgab,TM,2022-02-02   03:16:17,37.4966,61.9714,42.67,70,100,13.8
123,Bethel,US,2022-02-02   03:16:17,41.3712,-73.414,34.16,74,100,0.0
124,Marzuq,YE,2022-02-02   03:16:15,14.4,46.4667,60.53,67,82,1.63
125,Castro,BR,2022-02-02   03:16:18,-24.7911,-50.0119,62.37,96,74,5.21
126,Gimli,CA,2022-02-02   03:16:18,50.6336,-96.9907,-6.57,64,100,11.5
127,Bengkulu,ID,2022-02-02   03:16:18,-3.8004,102.2655,75.76,77,100,5.64
