City_ID,City,Country,Max Temp,Weather Description,Humidity,Cloudiness,Wind Speed,Lat,Lng,Hotel Name
223,Cabo San Lucas,MX,62.94,clear sky,70,0,1.66,22.8909,-109.9124,Hotel Tesoro Los Cabos
225,Cockburn Town,TC,75.83,clear sky,74,0,17.2,21.4612,-71.1419,Osprey Beach Hotel
227,Alofi,NU,76.89,overcast clouds,94,100,5.75,-19.0595,-169.9187,Taloa Heights
229,Boa Vista,BR,80.58,clear sky,69,0,8.05,2.8197,-60.6733,Aipana Plaza Hotel
230,Phalaborwa,ZA,70.86,broken clouds,79,64,12.44,-23.943,31.1411,Bothabelo Bed and Breakfast
235,Homestead,US,73.0,clear sky,94,0,0.0,25.4687,-80.4776,Travelodge by Wyndham Florida City/Homestead/Everglades
238,Rio Grande,BR,73.51,scattered clouds,94,40,7.0,-32.035,-52.0986,Hotel Atlântico Rio Grande
242,Kulhudhuffushi,MV,81.19,broken clouds,65,54,9.69,6.6221,73.07,Haajy Guest House 1
246,Tucuman,AR,68.0,broken clouds,88,62,10.36,-26.8241,-65.2226,Dallas Hotel Tucuman
248,Nsanje,MW,73.15,overcast clouds,90,100,1.57,-16.92,35.262,Nsanje Discovery Lodge
257,Marzuq,YE,70.39,clear sky,23,1,3.06,14.4,46.4667,
258,Ixtapa,MX,64.63,clear sky,84,6,1.83,20.7,-105.2,Hotel Plaza Providencia
259,Mitsamiouli,KM,82.69,light rain,83,75,12.66,-11.3847,43.2844,Foyer ADM
264,Voh,NC,81.68,heavy intensity rain,81,100,9.31,-20.9667,164.7,Le gîte du Koniambo
267,Tomatlan,MX,64.22,clear sky,83,2,1.54,19.9333,-105.25,El Salvial
272,Coxim,BR,74.39,overcast clouds,88,91,2.98,-18.5067,-54.76,Hotel Avenida
276,Laguna De Perlas,NI,75.4,few clouds,83,24,9.22,12.3429,-83.6712,Hotel Best View
278,Cayenne,GF,79.09,light rain,86,75,7.0,4.9333,-52.3333,Hôtel Le Dronmi
280,Sola,VU,82.51,overcast clouds,78,100,22.15,-13.8833,167.55,Leumerus Bungalows
284,Mbandaka,CD,70.84,overcast clouds,70,100,3.96,0.0487,18.2603,Guest House Epervier
285,La Brea,HN,71.89,scattered clouds,94,28,1.32,15.8,-85.9667,Hotel reynita
291,Katherine,AU,80.92,light rain,78,81,6.91,-14.4667,132.2667,Pine Tree Motel
292,Maumere,ID,83.14,broken clouds,78,81,11.81,-8.6199,122.2111,Sylvia Hotel
295,Kloulklubed,PW,81.79,scattered clouds,81,40,19.6,7.0419,134.2556,Storyboard Beach Resort
297,Manggar,ID,81.88,overcast clouds,75,100,7.05,-2.8833,108.2667,Guest Hotel
298,Mtambile,TZ,79.09,light rain,84,100,11.72,-5.3833,39.7,
300,Ardakan,IR,62.98,broken clouds,43,64,11.43,32.31,54.0175,Ardakan Hotel
